"* Required Fields","* Required Fields"
"-- No Status Change --","-- No Status Change --"
"1. Open the TWINT App on your smartphone","1. Open the TWINT App on your smartphone"
"2. Select the ???Pay??? menu in the TWINT App","2. Select the 'Pay' menu in the TWINT App"
"3. Enter the TOKEN there or scan the QR code via the camera icon","3. Enter the TOKEN there or scan the QR code via the camera icon"
"3D Secure","3D Secure"
"3D Secure Authentication","3D Secure Authentication"
"3D Secure failed","3D Secure verification failed"
"3D Secure sucess","3D Secure successfull"
"@key could not be read from storage.","@key could not be read from storage."
"@message","@message"
"A authorized transaction cannot be authorized again.","An authorised transaction cannot be authorised again."
"A authorized transaction cannot be marked as failed.","An authorised transaction cannot be marked as failed."
"A cancelled transaction cannot be authorized.","A cancelled transaction cannot be authorised."
"A cancelled transaction cannot be cancelled again.","A cancelled transaction cannot be cancelled again."
"A cancelled transaction cannot be captured.","A cancelled transaction cannot be captured"
"A cancelled transaction cannot be marked as failed.","A cancelled transaction cannot be marked as failed."
"A cancelled transaction cannot be refunded.","A cancelled transaction cannot be refunded"
"A captured transaction cannot be authorized.","A captured transaction cannot be authorised."
"A captured transaction cannot be cancelled.","A captured transaction cannot be cancelled."
"A captured transaction cannot be marked as failed.","A captured transaction cannot be marked as failed."
"A failed authorization cannot be authorized.","A failed authorisation cannot be authorised."
"A payment method may not available for customers from different counties. You can decide when this availability check should happen. We recommend to set it during authorization","Some payment methods are not be available for customers from certain counties. You can decide at what instant this availability check should happen. We recommend setting it to 'during authorisation'."
"A refund was added over !amount.","A refund was added over !amount."
"A transaction may be uncertain, when the payment is not guaranteed. For example in case the credit card does not participate in the 3D procedure.","A transaction may be uncertain, when the payment is not guaranteed. For example in the case that the credit card does not participate in the 3D Secure procedure."
"About","About"
"Account Holder Name","Account holder"
"Account owner name.","Account holder"
"Action","Action"
"Actions","Actions"
"Activate","Active"
"Activate the payment method Twint.","Activate the payment method Twint."
"Active","Active"
"Additional Information","Additional Information"
"Adjust Qty","Adjust Quantity"
"Adjustment Discount","Adjustment Discount"
"Adjustment Fee","Adjustment Fee"
"After payment selection","After payment method selection"
"Ajax authorization not supported.","Ajax authorization not supported"
"Alias","Alias"
"Alias For Display","Alias For Display"
"All Customers","All Customers"
"Allowed Currencies","Allowed currencies"
"Allowed currencies for this payment method","Permitted currencies for this payment method"
"Already registered?","Already registered?"
"Always Checkout as Guest","Always Checkout as Guest"
"American Express","American Express"
"Amount","Amount"
"Amount Incl. Tax","Amount Incl. Tax"
"An attempt to cancel the transaction was made with an incorrect hash.","An attempt to cancel the transaction was made with an incorrect hash."
