"* Required Fields","* Required Fields"
"-- No Status Change --","-- No Status Change --"
"1. Open the TWINT App on your smartphone","1. Open the TWINT App on your smartphone"
"2. Select the 'Pay' menu in the TWINT App","2. Select the 'Pay' menu in the TWINT App"
"2. Select the ???Pay??? menu in the TWINT App","2. Select the ???Pay??? menu in the TWINT App"
"3. Enter the TOKEN there or scan the QR code via the camera icon","3. Enter the TOKEN there or scan the QR code via the camera icon"
"3D Secure","3D Secure"
"3D Secure Authentication","3D Secure Authentication"
"3D Secure failed","3D Secure mislukt"
"3D Secure sucess","3D Secure succes"
"@key could not be read from storage.","@key could not be read from storage."
"@message","@message"
"A authorized transaction cannot be authorized again.","Een geautoriseerde transactie kan niet worden weer geautoriseerd."
"A authorized transaction cannot be marked as failed.","Een geautoriseerde transactie kan niet worden gemarkeerd als mislukt."
"A cancelled transaction cannot be authorized.","Een geannuleerde transactie kan niet worden geautoriseerd."
"A cancelled transaction cannot be cancelled again.","Een geannuleerde transactie kan niet worden weer geannuleerd."
"A cancelled transaction cannot be captured.","Een geannuleerde transactie kan niet worden weer opgenomen."
"A cancelled transaction cannot be marked as failed.","Een geannuleerde transactie kan niet worden gemarkeerd als mislukt."
"A cancelled transaction cannot be refunded.","Een geannuleerde transactie kan niet worden bijgeschreven."
"A captured transaction cannot be authorized.","Een opgenomen transactie kan niet worden geautoriseerd."
"A captured transaction cannot be cancelled.","Een opgenomen transactie kan niet worden geannuleerd."
"A captured transaction cannot be marked as failed.","Een opgenomen transactie kan niet worden gemarkeerd als mislukt."
"A failed authorization cannot be authorized.","Een mislukte autorisatie kan niet worden geautoriseerd."
"A payment method may not available for customers from different counties. You can decide when this availability check should happen. We recommend to set it during authorization","Sommige betaalmethoden zijn niet beschikbaar voor bepaalde landen. U kunt de tijd waarop de beschikbaarheid cheque te voeren taken. Wij adviseren om op 'Tijdens de autorisatie'."
"A refund was added over !amount.","Een terugbetaling van !amount werd toegevoegd."
"A transaction may be uncertain, when the payment is not guaranteed. For example in case the credit card does not participate in the 3D procedure.","Een transactie kan onveilig zijn als de betaling niet is gegarandeerd. Bijvoorbeeld, als de credit card niet tot het 3D Secure proces."
"About","About"
"Account Holder Name","Naam rekeninghouder"
"Account owner name.","Rekeninghouder naam"
"Action","Actie"
"Actions","Actions"
"Activate","Activate"
"Activate the payment method Twint.","Activate the payment method Twint."
"Active","Active"
"Additional Information","Additional Information"
"Adjust Qty","Pas de hoeveelheid"
"Adjustment Discount","Adjustment Discount"
"Adjustment Fee","Adjustment Fee"
"After payment selection","Na het selecteren van de betaalmethode"
