Contact,Kontakt
Address,Adresse
Phone,Telefon
Email,Email
"Opening hours","Öffnungszeiten"
"To the products","Zu den Produkten"
"Call us","Ruf uns an"
"Add to Cart","In den Warenkorb"
"Proceed to Checkout","Zur Kasse"
"Go to Checkout","Zur Kasse"
"View and edit cart","Zum Warenkorb"
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","Das Passwort muss mindestens %1 der folgenden Zeichenarten enthalten: Klein-, Grossbuchstaben, Zahlen, Spezialzeichen."
"Minimum length of this field must be equal or greater than %1 symbols. Leading and trailing spaces will be ignored.","Minimale Länge für dieses Feld ist %1 Zeichen."
"Next","Weiter"
"Item in Cart","Produkt im Warenkorb"
"Items in Cart","Produkte im Warenkorb"
"Select Method",""
"Method Title","Versandart"
"Carrier Title","Spediteur"
"Recently Ordered","Kürzlich bestellt"
"Print Order","Bestellung drucken"
"Pending","In Bearbeitung"
"Complete","Abgeschlossen"
"Order Shipments","Lieferscheine"
"Hours of Operation:<br /><span class=""no-link"">%store_hours</span>.","Öffnungszeiten: <br /><span class=""no-link"">%store_hours</span>."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>.","Wenn Du Fragen bezüglich der Bestellung hast kannst Du uns über folgende Email Adresse kontaktieren <a href=""mailto:%store_email"">%store_email</a>."
"Shipped by","Versendet mit"
"Tracking Number","Sendungsnummber"
"Continue to PayPal","Weiter zu Paypal"
"About X-Dream Fly","Über X-Dream Fly"
"Swiss Dealers","Schweizer Händler & Testcenter"
"International Dealers","Internationale Händler"
"Prices","Preise & Pauschalen"
"Privacy and Data Protection","Privatsphäre und Datenschutz"
"Right of Returns","Widerrufsbelehrung"
"Shipping Costs", "Versandkosten"
"Write","Schreib"
"Us","uns"
Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.,Bitte gib eine gültige Telefonnummer ein. Beispielsweise 0791234543.
"You added %1 to your <a href=""%2"">shopping cart</a>.", "Du hast %1 zu Deinem <a href=""%2"">Warenkorb</a> hinzugefügt."
"We found other products you might like!","Verwandte Produkte"
"Read more &#187;","Mehr lesen &#187;"
"to the product","zum Produkt"
"Delivery time","Lieferzeit"
"days","Tage"
"Do you have any comments regarding the order?","Hast Du Anmerkungen zu Deiner Bestellung?"
"Enter your comment...","Anmerkung..."
You can create an account after checkout.,Du kannst nach dem Checkout ein Konto erstellen.
"We'll send your order confirmation here.","Wir werden Deine Bestellbestätigung an diese E-Mail senden."
"Line","Zeile"
"If you have an account, sign in with your email address.","Wenn Du ein Konto hast, melde Dich mit Deiner E-Mail-Adresse an."
You aren't subscribed to our newsletter., Du bist nicht für unseren Newsletter angemeldet.
Position,Relevanz
"home-teaser-title","Individuelle Gurtzeuge und Zubehör für den Gleitschirmsport"
"home-teaser","Die Flugsau GmbH entwickelt und produziert in der Zentralschweiz bereits seit mehr als 10 Jahren Gleitschirmgurtzeuge, Zubehör und Sonderanfertigungen für Gleitschirmpiloten. Wir sind selber begeisterte Gleitschirmpiloten und Outdoor-Sportler und haben eine grosse Leidenschaft für’s Nähen und strapazierfähige Textilien. Dank unserem langjährigen Know-how können wir dich mit Beratung, Entwicklung und Produktion von kundenspezifischen Wünschen optimal betreuen."
"New products","Neue Produkte"
"Come back soon to see what's new!","Komm bald zurück, um unsere Neuheiten zu sehen!"
"home-teaser2-p1","Hast du ein eigenes Näh-Projekt? Neben fertigem Gurtzeug vertreiben wir auch Karabiner, Schnallen, Gurtbänder und Stoffe und vieles mehr als Einzel- und Ersatzteile für Gleitschirm-Fans, die selber Freude am Nähen haben und hochwertige Teile zum Verarbeiten suchen."
"Our services","Unsere Leistungen"
"home-teaser2-list1","Entwicklung und Produktion von strapazierfähigen Textilien für Gleitschirme, die Aviatik, den Flugsport und die Industrie"
"home-teaser2-list2","Spezialanfertigungen, Modifikationen und Reparaturen von Gleitschirmgurtzeugen, Rucksäcken, Taschen und Gurtsystemen in unserem eigenen Atelier in Grafenort (OW)"
"home-teaser2-list3","Beratung und Verkauf vor Ort und telefonisch"
"home-teaser2-list4","Notschirmwartungen für alle Systeme"
"home-teaser2-list5","Import und Verkauf von Gleitschirmgurtzeugen, Schnallen, Karabinern und Zubehör"
"home-teaser3-title","Vorteile von Entwicklung und Produktion in der Schweiz"
"home-teaser3","Mit der Herstellung unserer Produkte in der Schweiz verfügen wir nicht nur über Know-how in der Entwicklung, sondern auch in der Fertigstellung der Textilien. Wir verfügen über ein perfekt ausgestattetes Nähatelier mit Industrienähmaschinen, Cutter etc. Die Herstellung in der Schweiz garantiert uns zudem zuverlässige Lieferzeiten, welche immer wichtiger werden."
