Contact,Kontakt
Address,Addresse
Phone,Telefon
Email,Email
"Opening hours","Öffnungszeiten"
"To the products","Zu den Produkten"
"Call us","Ruf uns an"
home-teaser-line-1,"Die Schweizer Gurtzeug- und Zubehör Manufaktur im Engelbergertal."
home-teaser-line-2,"Entwicklung, Vertrieb und Produktion."
home-teaser-line-3,"Made in Grafenort."
"Add to Cart","In den Warenkorb"
"Proceed to Checkout","Zur Kasse"
"Go to Checkout","Zur Kasse"
"View and edit cart","Zum Warenkorb"
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","Das Passwort muss mindestens %1 der folgenden Zeichenarten enthalten: Klein-, Grossbuchstaben, Zahlen, Spezialzeichen."
"Minimum length of this field must be equal or greater than %1 symbols. Leading and trailing spaces will be ignored.","Minimale Länge für dieses Feld ist %1 Zeichen."
"Next","Weiter"
"Item in Cart","Produkt im Warenkorb"
"Items in Cart","Produkte im Warenkorb"
"Select Method",""
"Method Title","Versandart"
"Carrier Title","Spediteur"
"Recently Ordered","Kürzlich bestellt"
"Print Order","Bestellung drucken"
"Pending","In Bearbeitung"
"Complete","Abgeschlossen"
"Order Shipments","Lieferscheine"
