sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,deferred_stock_update,use_config_deferred_stock_update,related_skus,crosssell_skus,upsell_skus,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,associated_skus,base_image,thumbnail_image,small_image,additional_images
FS0192,,Default,simple,Default Category/Produkte/Parts/Klettbänder,base,Klettband 20mm Flausch,"<p>Schwarz zum Aufn&auml;hen</p>
<p></p>
<p><strong><strong><strong>Anzahl 1 = 1 Meter</strong></strong></strong></p>",,0.01,1,Taxable Goods,"Katalog, Suche",1.764902507,,,,,,,,,,,,,,,,,,,,,,,,,,999,0,0,1,0,0,1,1,0,0,1,1,,1,1,1,0,1,0,0,1,0,1,,,,,,,,,,,,klettverschluesse-klettband-flausch.png,klettverschluesse-klettband-flausch.png,klettverschluesse-klettband-flausch.png,
FS0165,,Default,simple,"Default Category/Produkte/Parts/Austri Alpin,Default Category/Produkte/Parts/Karabiner / Ringe",base,Austri Alpin Materialkarabiner,<p>Kleiner Alukarabiner f&uuml;r Materialsicherungen. NICHT zum Klettern verwenden!</p>,,0.03,1,Taxable Goods,"Katalog, Suche",6.0367688022,,,,klettband-20mm-flausch-parts,,,,,,,,,,,,,,,,,,,,,,999,0,0,1,0,0,1,1,0,0,1,1,,1,1,1,0,1,0,0,1,0,1,,,,,,,,,,,,austrialpin-austri-alpin-materialkarabiner.png,austrialpin-austri-alpin-materialkarabiner.png,austrialpin-austri-alpin-materialkarabiner.png,
FP10A,,Default,simple,"Default Category/Produkte/Parts/Austri Alpin,Default Category/Produkte/Parts/Karabiner / Ringe",base,Austri Alpin POWERFLY Edelstahl Autolock,"<p>Gleitschirm Karabiner mit autolock Funktion</p>
<p><span id=""plc_lt_zoneContent_pageplaceholder_pageplaceholder_lt_zoneContent_cmsdatalist_lstElem""><span>Gem&auml;ss Hersteller: max. gebrauchsdauer ist nach 1500 flugstunden oder 5 jahren erreicht </span></span></p>
<p><strong>Masse:</strong></p>
<p><strong><img src=""/picture/austrialpin/powerfly/sizes.ashx.jpg"" alt=""Masse"" height=""84"" width=""86"" /></strong></p>
<p><strong>Festigkeiten:</strong></p>
<p><span><span><img src=""/picture/austrialpin/test/forces.ashx.jpg"" alt=""Kr&auml;fte"" height=""36"" width=""204"" /></span></span></p>
<p><strong>Material:</strong></p>
<p>Inox, poliert</p>
<p></p>",,0.14,1,Taxable Goods,"Katalog, Suche",26.9266963788,,,,,,,,,,,,,,,,,,,,,,,,,,989,0,0,1,0,0,1,1,0,0,1,1,,1,1,1,0,1,0,0,1,0,1,,,,,,,,,,,,austrialpin-austri-alpin-power-fly.png,austrialpin-austri-alpin-power-fly.png,austrialpin-austri-alpin-power-fly.png,
FS0124,,Default,simple,"Default Category/Produkte/Parts/Austri Alpin,Default Category/Produkte/Parts/Karabiner / Ringe",base,Austri Alpin Stratus INOX,"<p>Der 25mm Autolock Karabiner f&uuml;r Gleitschirmfliegen in der starken inox Version.<br />Geeigenet f&uuml;r Solo und Tandem.</p>
<p>Gem&auml;ss Hersteller: Die max. Gebrauchsdauer ist nach 1500 Flugstunden oder 5 Jahren erreicht.</p>
<p><strong>Masse:</strong></p>
<p><strong><img src=""/picture/austrialpin/stratus_inox/sizes.ashx.jpg"" alt=""Masse"" height=""84"" width=""86"" /></strong></p>
<p><strong>Festikeiten:</strong></p>
<p><strong><img src=""/picture/austrialpin/stratus_inox/forces.ashx.jpg"" alt=""Festigkeiten"" height=""36"" width=""204"" /></strong></p>
<p><strong>Material:</strong></p>
<div>inox poliert</div>",,0.13,1,Taxable Goods,"Katalog, Suche",28.7836545961,,,,austri-alpin-stratus-inox-parts,,,,,,,,,,,,,,,,,,,,,,993,0,0,1,0,0,1,1,0,0,1,1,,1,1,1,0,1,0,0,1,0,1,,,,,,,,,,,,austrialpin-austri-alpin-stratus-inox.png,austrialpin-austri-alpin-stratus-inox.png,austrialpin-austri-alpin-stratus-inox.png,
FS0166,,Default,simple,"Default Category/Produkte/Parts/Austri Alpin,Default Category/Produkte/Parts/Karabiner / Ringe",base,Austri Alpin MICRO MAGIC,"<p><span id=""plc_lt_zoneContent_pageplaceholder_pageplaceholder_lt_zoneContent_cmsdatalist_lstElem""><span>Die einzigartige Form des Micro vereint eine gro&szlig;e Schnapper&ouml;ffnung mit hohen Festigkeiten. Dieser kleinste Schraubkarabiner wiegt nur 50g.</span></span> Mit Schraubsicherung, Alugewinde, magicLock. Wir verwenden diesen Karabiner auch als Gleitschirmkarabiner f&uuml;r Leichtausr&uuml;stungen.</p>
<p><strong>Verschl&uuml;sse:</strong></p>
<p><strong><img src=""/picture/austrialpin/micro_magic/Magic-Lock.aspx.jpg"" alt=""Verschl&uuml;sse"" height=""93"" width=""130"" /></strong></p>
<p><strong>Masse:</strong></p>
<p><strong><img src=""/picture/austrialpin/micro_magic/sizes.ashx.jpg"" alt=""Masse"" height=""84"" width=""86"" /></strong></p>
<p><strong>Festigkeiten:</strong></p>
<p><strong><img src=""/picture/austrialpin/micro_magic/forces.ashx.jpg"" alt=""Festigkeiten"" height=""36"" width=""204"" /></strong></p>
<p><strong>Material:</strong></p>
<div>aluminium eloxiert</div>",,0.06,1,Taxable Goods,"Katalog, Suche",13.9286908078,,,,austri-alpin-micro-magic-parts,,,,,,,,,,,,,,,,,,,,,,997,0,0,1,0,0,1,1,0,0,1,1,,1,1,1,0,1,0,0,1,0,1,,,,,"name=Farbe,type=drop_down,required=1,price_type=fixed,sku=,option_title=grün,price=0|name=Farbe,type=drop_down,required=1,price_type=fixed,sku=,option_title=silber,price=0",,,,,,,austrialpin-austri-alpin-micro-magic.png,austrialpin-austri-alpin-micro-magic.png,austrialpin-austri-alpin-micro-magic.png,
FS0193,,Default,simple,Default Category/Produkte/Parts/Klettbänder,base,Klettband 20mm Haken,"<p>Schwarz zum Aufn&auml;hen</p>
<p></p>
<p><strong><strong><strong>Anzahl 1 = 1 Meter</strong></strong></strong></p>",,0.01,1,Taxable Goods,"Katalog, Suche",1.764902507,,,,,,,,,,,,,,,,,,,,,,,,,,998,0,0,1,0,0,1,1,0,0,1,1,,1,1,1,0,1,0,0,1,0,1,,,,,,,,,,,,klettverschluesse-klettband-haken.png,klettverschluesse-klettband-haken.png,klettverschluesse-klettband-haken.png,
FS0194,,Default,simple,Default Category/Produkte/Parts/Klettbänder,base,Klettband 25mm Flausch,"<p>Schwarz zum Aufn&auml;hen</p>
<p></p>
<p><strong><strong><strong>Anzahl 1 = 1 Meter</strong></strong></strong></p>",,0.01,1,Taxable Goods,"Katalog, Suche",1.9454038997,,,,,,,,,,,,,,,,,,,,,,,,,,999,0,0,1,0,0,1,1,0,0,1,1,,1,1,1,0,1,0,0,1,0,1,,,,,,,,,,,,klettverschluesse-klettband-flausch.png,klettverschluesse-klettband-flausch.png,klettverschluesse-klettband-flausch.png,
FS0195,,Default,simple,Default Category/Produkte/Parts/Klettbänder,base,Klettband 25mm Haken,"<p>Schwarz zum Aufn&auml;hen</p>
<p></p>
<p><strong><strong><strong>Anzahl 1 = 1 Meter</strong></strong></strong></p>",,0.01,1,Taxable Goods,"Katalog, Suche",1.9454038997,,,,,,,,,,,,,,,,,,,,,,,,,,999,0,0,1,0,0,1,1,0,0,1,1,,1,1,1,0,1,0,0,1,0,1,,,,,,,,,,,,klettverschluesse-klettband-haken.png,klettverschluesse-klettband-haken.png,klettverschluesse-klettband-haken.png,
FS0196,,Default,simple,Default Category/Produkte/Parts/Klettbänder,base,Klettband 38mm Flausch,"<p>Schwarz zum Aufn&auml;hen</p>
<p></p>
<p><strong><strong><strong>Anzahl 1 = 1 Meter</strong></strong></strong></p>",,0.02,1,Taxable Goods,"Katalog, Suche",3.1587743733,,,,,,,,,,,,,,,,,,,,,,,,,,999,0,0,1,0,0,1,1,0,0,1,1,,1,1,1,0,1,0,0,1,0,1,,,,,,,,,,,,klettverschluesse-klettband-flausch.png,klettverschluesse-klettband-flausch.png,klettverschluesse-klettband-flausch.png,
FS0197,,Default,simple,Default Category/Produkte/Parts/Klettbänder,base,Klettband 38mm Haken,"<p>Schwarz zum Aufn&auml;hen</p>
<p></p>
<p><strong><strong><strong>Anzahl 1 = 1 Meter</strong></strong></strong></p>",,0.02,1,Taxable Goods,"Katalog, Suche",3.1587743733,,,,,,,,,,,,,,,,,,,,,,,,,,999,0,0,1,0,0,1,1,0,0,1,1,,1,1,1,0,1,0,0,1,0,1,,,,,,,,,,,,klettverschluesse-klettband-haken.png,klettverschluesse-klettband-haken.png,klettverschluesse-klettband-haken.png,
